sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
0.0,26.0,0.0,5.0,0.0,0.0,3.0,306.0,3.0,0.0,107.0,1.0
1.0,22.0,0.0,5.0,0.0,0.0,3.0,21.0,8.0,0.0,20.0,1.0
1.0,44.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1141.0,0.0
1.0,32.0,0.0,4.0,0.0,0.0,3.0,1.0,4.0,85.0,613.0,0.0
0.0,27.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,923.0,0.0
1.0,52.0,0.0,4.0,0.0,0.0,15.0,0.0,3.0,1.0,334.0,0.0
1.0,61.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,1.0,28.0,0.0
1.0,,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,968.0,0.0
1.0,51.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,33.0,961.0,0.0
0.0,21.0,0.0,6.0,0.0,0.0,1.0,86.0,6.0,1.0,417.0,0.0
