,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
0,,0,,0,0,0.0,1.0,1,0,327,0
1,,0,,0,0,,1.0,1,9,159,1
2,,0,4.0,0,1,,1.0,3,0,63,0
3,,0,8.0,1,0,1.0,1.0,6,0,1174,0
4,,0,,0,0,,76.0,1,0,1102,0
5,,0,1.0,0,0,,0.0,1,1,853,0
6,,0,,0,0,,1.0,2,5,40,1
7,,0,,0,0,3.0,1.0,3,0,265,0
8,,0,1.0,0,0,0.0,1.0,1,2,747,0
9,,0,,0,0,,308.0,5,0,428,1
10,,0,,0,0,,1.0,4,0,857,0
11,,0,6.0,0,0,3.0,0.0,4,4,128,1
12,,0,,0,0,,0.0,1,1,1186,0
13,,0,,0,0,0.0,1.0,2,0,905,0
14,,0,1.0,0,0,1.0,490.0,1,0,216,1
15,,0,,0,0,7.0,71.0,2,0,22,1
16,,0,,0,0,0.0,0.0,1,0,739,0
17,,0,,0,0,3.0,1.0,9,0,463,0
18,,0,5.0,0,0,,1.0,4,0,241,1
19,,0,3.0,0,0,5.0,1.0,2,0,163,1
20,,0,6.0,0,0,,1.0,3,0,1,1
21,,0,,0,0,1.0,1.0,9,2,30,1
22,,0,2.0,0,0,0.0,0.0,3,0,81,1
23,,0,,0,0,0.0,2.0,5,0,861,0
24,,0,,0,0,,1.0,5,1,411,1
25,,0,,0,0,1.0,1.0,2,0,1162,0
26,,0,3.0,0,0,,1.0,4,1,1056,0
27,,0,3.0,0,0,8.0,1.0,3,16,116,0
28,,0,,0,0,,95.0,1,0,53,0
29,,0,7.0,0,1,5.0,1.0,7,0,391,0
30,,0,10.0,0,0,,1.0,6,38,215,0
31,,0,,0,0,,0.0,10,44,162,1
32,,0,,0,0,4.0,1.0,3,0,6,1
33,,0,1.0,0,0,,1.0,1,1,823,0
34,,0,3.0,0,0,,0.0,2,3,502,0
35,,0,8.0,0,2,,382.0,8,0,81,0
