sex,age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,v_decile_score,start,end,event
Male,69,0,1,0,0,0,1,1,0,327,0
Male,34,0,3,0,0,0,1,1,9,159,1
Male,24,0,4,0,1,4,1,3,0,63,0
Male,23,0,8,1,0,1,1,6,0,1174,0
Male,43,0,1,0,0,2,76,1,0,1102,0
Male,44,0,1,0,0,0,0,1,1,853,0
Male,41,0,6,0,0,14,1,2,5,40,1
Male,43,0,4,0,0,3,1,3,0,265,0
Female,39,0,1,0,0,0,1,1,2,747,0
Male,21,0,3,0,0,1,308,5,0,428,1
Male,27,0,4,0,0,0,1,4,0,857,0
Male,23,0,6,0,0,3,0,4,4,128,1
Female,37,0,1,0,0,0,0,1,1,1186,0
Male,41,0,4,0,0,0,1,2,0,905,0
Female,47,0,1,0,0,1,490,1,0,216,1
Male,31,0,3,0,0,7,71,2,0,22,1
Male,37,0,1,0,0,0,0,1,0,739,0
Male,25,0,10,0,0,3,1,9,0,463,0
Male,31,0,5,0,0,6,1,4,0,241,1
Male,31,0,3,0,0,5,1,2,0,163,1
Male,64,0,6,0,0,13,1,3,0,1,1
Male,21,0,9,0,0,1,1,9,2,30,1
Male,27,0,2,0,0,0,0,3,0,81,1
Female,21,0,4,0,0,0,2,5,0,861,0
Male,24,0,4,0,0,1,1,5,1,411,1
Male,43,0,1,0,0,1,1,2,0,1162,0
Male,32,0,3,0,0,0,1,4,1,1056,0
Male,27,0,3,0,0,8,1,3,16,116,0
Female,36,0,3,0,0,3,95,1,0,53,0
Male,26,0,7,0,1,5,1,7,0,391,0
Male,33,0,10,0,0,0,1,6,38,215,0
Male,30,0,9,0,0,9,0,10,44,162,1
Male,32,0,8,0,0,4,1,3,0,6,1
Male,55,0,1,0,0,0,1,1,1,823,0
Male,49,0,3,0,0,7,0,2,3,502,0
Male,26,0,8,0,2,6,382,8,0,81,0
Female,33,0,5,0,0,4,1,2,10,223,1
Male,24,0,2,0,0,1,0,3,1,240,1
Male,34,2,9,1,3,21,0,6,33,514,1
Male,29,0,2,0,0,0,1,2,0,1171,0
Female,21,0,8,0,0,2,1,8,79,524,0
Male,51,0,1,0,0,2,1,1,0,1128,0
Male,29,0,2,0,0,2,1,2,0,72,1
Female,51,0,2,0,0,7,1,2,1,529,0
Male,29,0,7,0,0,0,0,2,0,61,1
Male,25,0,10,0,0,9,1,9,6,8,1
Male,35,1,8,0,4,13,1,3,0,9,1
Male,49,0,1,0,0,0,0,1,0,973,0
Male,34,0,3,0,0,4,59,2,0,257,1
Male,29,0,4,0,0,0,1,3,0,1073,0
Male,29,0,2,0,0,1,24,2,0,441,0
Female,28,0,2,0,0,0,1,2,0,865,0
Male,48,0,6,0,0,20,562,4,0,275,1
Female,63,0,1,0,0,1,219,1,0,800,0
Male,31,0,5,0,1,15,1,7,135,1077,1
Male,24,0,4,0,0,2,1,4,1,575,1
Male,30,0,7,0,0,0,0,3,23,1167,0
Male,49,0,1,0,0,4,1,1,0,948,0
Male,53,0,5,0,0,8,13,2,0,1039,0
Male,35,0,3,0,0,5,1,2,0,1145,0
Male,63,0,7,0,0,10,906,5,0,44,1
Male,27,1,10,1,2,15,1,9,0,44,1
Male,38,0,2,0,0,4,1,2,1,272,1
Male,22,0,4,0,1,1,1,6,0,371,1
Male,22,0,10,1,2,2,114,9,0,70,0
Male,29,0,9,0,0,4,1,5,18,69,0
Male,62,0,1,0,0,0,1,1,0,1179,0
Male,27,0,6,1,0,6,0,3,30,193,1
Male,33,0,1,0,0,0,1,1,0,754,0
